"Name"	"RPKM log2"
"xtrop_cDNA"	120.742751693
"xtrop_cDNA"	825695.648584
"xtrop_cDNA"	1758.49992922
"xtrop_cDNA"	-4541326.06721
"xtrop_cDNA"	3263.91236526
"xtrop_cDNA"	1302.73266415
"xtrop_cDNA"	7312.92442385
"xtrop_cDNA"	81276.5291671
"xtrop_cDNA"	2448.15421413
"xtrop_cDNA"	403673.428197
"xtrop_cDNA"	3060.19276766
"xtrop_cDNA"	9964.51139267
"xtrop_cDNA"	2730.52975281
"xtrop_cDNA"	148895.93663
"xtrop_cDNA"	811.893459768
"xtrop_cDNA"	2287.82169633
"xtrop_cDNA"	935.969923168
"xtrop_cDNA"	-465777.032535
"xtrop_cDNA"	2359.84552923
"xtrop_cDNA"	2018367.14098
"xtrop_cDNA"	4816.33902557
"xtrop_cDNA"	-688079.707153
"xtrop_cDNA"	836.124400194
"xtrop_cDNA"	662276.718135
"xtrop_cDNA"	2017.9187146
"xtrop_cDNA"	-37883.8462333
"xtrop_cDNA"	503.738228802
"xtrop_cDNA"	-2422040.56918
"xtrop_cDNA"	3270.27801287
"xtrop_cDNA"	0
"xtrop_cDNA"	0.0
"xtrop_cDNA"	0
"xtrop_cDNA"	392.851674081
"xtrop_cDNA"	66296.7309082
"xtrop_cDNA"	471.819957373
"xtrop_cDNA"	0
"xtrop_cDNA"	858.108756618
"xtrop_cDNA"	0
"xtrop_cDNA"	5210.93065658
"xtrop_cDNA"	0
"xtrop_cDNA"	5210.93065658
"xtrop_cDNA"	0
"xtrop_cDNA"	10283.2178142
"xtrop_cDNA"	0
"xtrop_cDNA"	493.434678895
"xtrop_cDNA"	0
"xtrop_cDNA"	1095.19710618
"xtrop_cDNA"	0
"xtrop_cDNA"	1130.76135632
"xtrop_cDNA"	0
"xtrop_cDNA"	639.315737809
"xtrop_cDNA"	0
"xtrop_cDNA"	5594.48853368
"xtrop_cDNA"	0
"xtrop_cDNA"	2507.63449321
"xtrop_cDNA"	0
"xtrop_cDNA"	882.462023865
"xtrop_cDNA"	0
"xtrop_cDNA"	6791.61425804
"xtrop_cDNA"	0
"xtrop_cDNA"	8726.60658573
"xtrop_cDNA"	0
"xtrop_cDNA"	12297.1190555
"xtrop_cDNA"	0
"xtrop_cDNA"	989.85392305
"xtrop_cDNA"	0
"xtrop_cDNA"	2599.87180032
"xtrop_cDNA"	0
"xtrop_cDNA"	5801.75799069
"xtrop_cDNA"	0
"xtrop_cDNA"	5858.83059792
"xtrop_cDNA"	0
"xtrop_cDNA"	738.577120099
"xtrop_cDNA"	0
"xtrop_cDNA"	5418.16591833
"xtrop_cDNA"	0
"xtrop_cDNA"	5234.95800255
"xtrop_cDNA"	0
"xtrop_cDNA"	892.170458373
"xtrop_cDNA"	0
"xtrop_cDNA"	1960.99002542
"xtrop_cDNA"	0
"xtrop_cDNA"	1960.99002542
"xtrop_cDNA"	0
"xtrop_cDNA"	39421.2332223
"xtrop_cDNA"	0
"xtrop_cDNA"	1815.73150502
"xtrop_cDNA"	0
"xtrop_cDNA"	1815.586322
"xtrop_cDNA"	0
"xtrop_cDNA"	1800.23827054
"xtrop_cDNA"	0
"xtrop_cDNA"	1817.89384727
"xtrop_cDNA"	0
"xtrop_cDNA"	24130.3191669
"xtrop_cDNA"	0
"xtrop_cDNA"	2442.88653427
"xtrop_cDNA"	0
"xtrop_cDNA"	689.450774033
"xtrop_cDNA"	0
"xtrop_cDNA"	958.675570526
"xtrop_cDNA"	0
"xtrop_cDNA"	4962.51994778
"xtrop_cDNA"	0
"xtrop_cDNA"	4604.63986536
"xtrop_cDNA"	0
"xtrop_cDNA"	294.661696549
"xtrop_cDNA"	0
"xtrop_cDNA"	1356.47004606
"xtrop_cDNA"	0
"xtrop_cDNA"	5936.37394407
"xtrop_cDNA"	0
